Geo Point;Geo Shape;site;annee_installation;zone_emission;disponibilite;adresse;commune
43.6042972191,1.44397221945;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443972219453044, 43.604297219146375]]}";Captiole 2;2015.0;extérieur;24h/24h (avec garantie de service);PL DU CAPITOLE;TOULOUSE
43.5977305585,1.43133333267;"{""type"": ""MultiPoint"", ""coordinates"": [[1.431333332674755, 43.59773055847992]]}";Saint-Cyprien;2015.0;extérieur;24h/24h (avec garantie de service);PL INTERIEURE SAINT CYPRIEN;TOULOUSE
43.5950861094,1.45146944284;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451469442840486, 43.595086109402025]]}";Jules Guesdes 1;2016.0;extérieur;24h/24h (avec garantie de service);Allees Jules Guesde;TOULOUSE
43.5926666718,1.44424166837;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444241668370704, 43.59266667178504]]}";Lafourcade;2016.0;extérieur;24h/24h (avec garantie de service);allée Paul Feuga;TOULOUSE
43.5945638883,1.45076943841;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450769438407453, 43.59456388833018]]}";Quai des savoirs;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);39 allées Jules Guesdes;TOULOUSE
43.6003611082,1.4438166675;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443816667499058, 43.60036110820544]]}";Esquirol 2;2016.0;extérieur;24h/24h (avec garantie de service);1 place Esquirol;TOULOUSE
43.6061777786,1.44409444231;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444094442312721, 43.60617777858271]]}";salle du Sénéchal - Rému;2014.0;intérieur bâtiment;24h/24h (sans garantie de service);17 rue de Rémusat;TOULOUSE
43.6364222186,1.46294999808;"{""type"": ""MultiPoint"", ""coordinates"": [[1.462949998082919, 43.63642221864391]]}";Restaurant Senior Croix;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);5 rue Francis Lopez;TOULOUSE
43.6056559978,1.44854199958;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448541999580308, 43.60565599781414]]}";Jaurès 1;2017.0;extérieur;24h/24h (avec garantie de service);Allée du Pdt F, Roosevelt;TOULOUSE
43.5814909977,1.3881219968;"{""type"": ""MultiPoint"", ""coordinates"": [[1.388121996802599, 43.58149099770445]]}";Pradettes;2017.0;extérieur;24h/24h (avec garantie de service);place des Pradettes;TOULOUSE
43.5986890018,1.43047599713;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430475997132928, 43.59868900175911]]}";MATOU - Musée Affiche To;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);Allée Charles de fitte;TOULOUSE
43.6323129988,1.45198200139;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451982001391724, 43.63231299883877]]}";Les jardins du Muséum 2;2017.0;extérieur;24h/24h (sans garantie de service);Avenue Maurice Bourges-Maun;TOULOUSE
43.6010840024,1.43903399847;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439033998472658, 43.60108400242985]]}";Daurade 3;2017.0;extérieur;24h/24h (avec garantie de service);Promenade Henri Martin;TOULOUSE
43.5851470005,1.43582799796;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435827997961415, 43.58514700048074]]}";Salle Jean Mermoz;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);7 allées G. Biénès;TOULOUSE
43.5846439976,1.42765199812;"{""type"": ""MultiPoint"", ""coordinates"": [[1.427651998121887, 43.584643997598505]]}";Mairie Croix de Pierre;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);125 avenue de Muret;TOULOUSE
43.5969190017,1.44689200316;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446892003155369, 43.59691900168222]]}";Musée Paul Dupuy;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);13 rue de la Pleau;TOULOUSE
43.6143830018,1.47450199994;"{""type"": ""MultiPoint"", ""coordinates"": [[1.474501999943457, 43.61438300180059]]}";Centre animation Soupeta;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);63 Chemin HEREDIA;TOULOUSE
43.5924100013,1.38966700245;"{""type"": ""MultiPoint"", ""coordinates"": [[1.389667002453002, 43.59241000132867]]}";Petit Capitole;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);153 Avenue de Lardenne;TOULOUSE
43.5801549977,1.41195299805;"{""type"": ""MultiPoint"", ""coordinates"": [[1.411952998050378, 43.58015499769099]]}";bibliothèque St Exupery;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);37 rue du Lot;TOULOUSE
43.6032638911,1.43612222143;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436122221425397, 43.60326389106637]]}";Saint-Pierre 3;2015.0;extérieur;24h/24h (avec garantie de service);PL SAINT PIERRE;TOULOUSE
43.6015305621,1.44574722295;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445747222946651, 43.60153056212845]]}";Alsace 1;2015.0;extérieur;24h/24h (avec garantie de service);4 RUE D ALSACE LORRAINE;TOULOUSE
43.5974000018,1.43712500265;"{""type"": ""MultiPoint"", ""coordinates"": [[1.437125002651406, 43.59740000179652]]}";Cours Dillon 3;2016.0;extérieur;24h/24h (avec garantie de service);cours dillon;TOULOUSE
43.5942861079,1.44886111062;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448861110615276, 43.59428610789786]]}";Jules Guesdes 2;2016.0;extérieur;24h/24h (avec garantie de service);Allees Jules Guesde;TOULOUSE
43.5938694379,1.44782500109;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44782500108763, 43.59386943787576]]}";Jules Guesdes 3;2016.0;extérieur;24h/24h (avec garantie de service);Allees Jules Guesde;TOULOUSE
43.6382972182,1.44381944212;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443819442118309, 43.63829721818029]]}";Izard;2016.0;intérieur et extér;24h/24h (avec garantie de service);place micoulaud;TOULOUSE
43.5978222203,1.43010277899;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430102778988877, 43.59782222033881]]}";MDC St cyprien;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);place Diebold;TOULOUSE
43.6077944427,1.44114444182;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441144441822064, 43.60779444268147]]}";Musée Saint Raymond;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);place St Sernin;TOULOUSE
43.5988277824,1.4305555628;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430555562798499, 43.598827782417914]]}";Bibliothèque St cyprien;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);63 rue Réclusane;TOULOUSE
43.6034083304,1.44683333091;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446833330912421, 43.60340833036038]]}";Salle Osète - Duranti;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);8 rue du lieuteunant colone;TOULOUSE
43.6048249978,1.44422499769;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444224997693528, 43.604824997798]]}";Hotel de Ville - Capitol;2014.0;intérieur bâtiment;24h/24h (sans garantie de service);place du Capitole;TOULOUSE
43.5835444425,1.48359166667;"{""type"": ""MultiPoint"", ""coordinates"": [[1.483591666666266, 43.58354444245159]]}";Restaurant Senior La Ter;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);15 Impasse Franz SCHRADER;TOULOUSE
43.6085360006,1.44581899738;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445818997376646, 43.608536000607046]]}";Jeanne d'Arc;2017.0;extérieur;24h/24h (avec garantie de service);17 place Jeanne D'Arc;TOULOUSE
43.6402810015,1.45262399705;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452623997046738, 43.64028100154952]]}";Maourine;2017.0;extérieur;24h/24h (avec garantie de service);Carré de la Maourine;TOULOUSE
43.6129699985,1.43505599737;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435055997367839, 43.612969998490875]]}";Gymnase Compans Cafarell;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);Esplanade Compans Cafarelli;TOULOUSE
43.6063139973,1.4386060004;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438606000401955, 43.606313997341985]]}";Place Anatole France;2017.0;extérieur;24h/24h (avec garantie de service);Place Anatole France;TOULOUSE
43.5826110002,1.3888159985;"{""type"": ""MultiPoint"", ""coordinates"": [[1.388815998502664, 43.58261100022302]]}";Accueil Jeunes Bordeblan;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);rue Yves Rouquette;TOULOUSE
43.5891290004,1.37857700169;"{""type"": ""MultiPoint"", ""coordinates"": [[1.378577001692808, 43.58912900041169]]}";Mairie de quartier Larde;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);2 place sauvegrain;TOULOUSE
43.6023444424,1.44577499688;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445774996875663, 43.602344442350244]]}";Alsace 2;2015.0;extérieur;24h/24h (avec garantie de service);20 RUE D ALSACE LORRAINE;TOULOUSE
43.6414694426,1.45056110779;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450561107788404, 43.64146944262074]]}";Métronum;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);RPT MADAME DE MONDONVILLE;TOULOUSE
43.6037361106,1.43996667136;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439966671360499, 43.603736110636824]]}";Musée des Jacobins;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);18 pl des JACOBINS;TOULOUSE
43.6111888884,1.45610277945;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456102779453523, 43.611188888445966]]}";Marengo Boulevard;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);6 Rue René Leduc;TOULOUSE
